Date,AAPL,AMZN,AVGO,INTU,LLY,META,MSFT,NFLX,NVDA,V
2021-09-01,1.8531551382663585,1.635389738663072,1.6877847286502383,1.9470054237587302,1.707825443040343,1.680897617024342,1.684603721482643,1.768640134277702,3.5132196667279336,1.1313342271272382
2021-10-01,1.961856392451817,1.6788951248398418,1.8640231995378964,2.2590987726374734,1.8830797279078682,1.6025457789541753,1.9815844782161587,2.000376727482878,4.335899956790745,1.0755674364614998
2021-11-01,2.1648524567096996,1.745922832328865,1.9411899693683046,2.357045313836978,1.8334084543299052,1.6069536163315423,1.9754295699777336,1.8600945997198644,5.541513140898167,0.9841466232501547
2021-12-01,2.328941039130815,1.6599326954842497,2.332912669890734,2.3242348260535133,2.0483327433070255,1.6658414158029706,2.0133459166676446,1.745747528250969,4.987801893492586,1.1025949207042531
2022-01-01,2.2923478816446834,1.4892419654389235,2.067222571440345,2.0062885214013995,1.819710196489938,1.5514835055316174,1.8616500619389211,1.23776412238912,4.153081034052983,1.150726460099895
2022-02-01,2.165651303556075,1.5289637989639742,2.072726870317862,1.7160959354334813,1.853524998349927,1.0451686798293984,1.7886760588754709,1.1432380235647022,4.135950653924962,1.0995929982616397
2022-03-01,2.293035879799114,1.6228991836814997,2.2217663700181265,1.7395022997410272,2.132465671116395,1.1012827681145607,1.849482744721188,1.085484970861655,4.627990328646445,1.130175373781115
2022-04-01,2.0703120206612144,1.2374199039268714,1.9693404932027685,1.5148833798619028,2.175357465938776,0.9928681873675149,1.6647804281336307,0.551624211682819,3.1463014268779763,1.0861446390725835
2022-05-01,1.9546158458818688,1.1968766851861317,2.0607760388705247,1.5014263352759039,2.3340438356016113,0.9590411278067952,1.6308873672987478,0.5721406046896161,3.167505730170016,1.0812521035986347
2022-06-01,1.798090130212445,1.0574893688232312,1.7257265617730937,1.3962983062751937,2.4225275456399764,0.7986230992096249,1.5442540627428214,0.5067373752905462,2.5715631864899287,1.0052992646163925
